,PUISS,CYLIN,VITES,LONG,LARG,HAUT,POIDS,COFFRE,RESERV,CONSO,CO2,PRIX
PUISS,1.0,0.8862046405546252,0.8040862804985957,0.7105982346939509,0.6647452398176487,0.0024729352065809827,0.683231744109788,0.3230385751492306,0.6962833126660586,0.8904549087401361,0.9023928439432547,0.8647299828307519
CYLIN,0.8862046405546252,1.0,0.5582829632783958,0.6593631463780009,0.7324158097982221,0.21089831024298292,0.7408850856222372,0.340780021112627,0.7282921130639649,0.7863095670139572,0.8099860886308039,0.8516202756676097
VITES,0.8040862804985957,0.5582829632783958,1.0,0.6090057779702962,0.3614784928267621,-0.4450246978931475,0.32605204280455163,0.3034965686605731,0.43245757078819475,0.5808462235147551,0.5803031267948905,0.6457056811231451
LONG,0.7105982346939509,0.6593631463780009,0.6090057779702962,1.0,0.8153528598241246,0.18203931984183166,0.8192481797305211,0.7062483389957042,0.8637223392760484,0.6644046003730296,0.714000928829237,0.7872897654565684
LARG,0.6647452398176487,0.7324158097982221,0.3614784928267621,0.8153528598241246,1.0,0.42307916113491384,0.8508964793645174,0.5894856121012161,0.8683858543780196,0.6894628422356328,0.7259170860327729,0.7652153473738972
HAUT,0.0024729352065809827,0.21089831024298292,-0.4450246978931475,0.18203931984183166,0.42307916113491384,1.0,0.5859323593883171,0.27219385036019605,0.40514970459109173,0.18273065589548856,0.22778260420547533,0.17122824768483796
POIDS,0.683231744109788,0.7408850856222372,0.32605204280455163,0.8192481797305211,0.8508964793645174,0.5859323593883171,1.0,0.5583686221241387,0.919105377836887,0.6947673894881491,0.7647482727890749,0.8116595752710308
COFFRE,0.3230385751492306,0.340780021112627,0.3034965686605731,0.7062483389957042,0.5894856121012161,0.27219385036019605,0.5583686221241387,1.0,0.5958842092406816,0.2573779836821589,0.31944588536543916,0.46390382046160505
RESERV,0.6962833126660586,0.7282921130639649,0.43245757078819475,0.8637223392760484,0.8683858543780196,0.40514970459109173,0.919105377836887,0.5958842092406816,1.0,0.6716337470151924,0.7388486357514794,0.8710062856570983
CONSO,0.8904549087401361,0.7863095670139572,0.5808462235147551,0.6644046003730296,0.6894628422356328,0.18273065589548856,0.6947673894881491,0.2573779836821589,0.6716337470151924,1.0,0.9901620308084427,0.774901287154802
CO2,0.9023928439432547,0.8099860886308039,0.5803031267948905,0.714000928829237,0.7259170860327729,0.22778260420547533,0.7647482727890749,0.31944588536543916,0.7388486357514794,0.9901620308084427,1.0,0.8266223540058867
PRIX,0.8647299828307519,0.8516202756676097,0.6457056811231451,0.7872897654565684,0.7652153473738972,0.17122824768483796,0.8116595752710308,0.46390382046160505,0.8710062856570983,0.774901287154802,0.8266223540058867,1.0
